SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ratio_sqft_bd,additional_bd_opp,ratio_lot_sqft,adu_potential
MLS Listing,,Multi-Family ,518 39 St,Brooklyn,NY,11232,1749000,12,6,Brooklyn,4815,25100,1925,111,363,,Active,https://www.redfin.com/NY/Brooklyn/518-39th-St-11232/home/40696744,SIBORMLS,1161050,N,Y,40.6508296,-74.0035824,401.25,TRUE,5.212876428,TRUE
MLS Listing,,Multi-Family ,101-01 101st Ave,Ozone Park,NY,11416,1748000,4,3,Queens,4980,5000,1920,154,351,,Active,https://www.redfin.com/NY/Jamaica/101-01-101st-Ave-11416/home/172549947,OneKey,3458622,N,Y,40.6857671,-73.8416001,1245,TRUE,1.004016064,FALSE
MLS Listing,,Multi-Family ,18-78 Madison St,Ridgewood,NY,11385,1725000,18,6,Queens,5700,2742,1930,165,303,,Active,https://www.redfin.com/NY/Queens/1878-Madison-St-11385/home/20884003,OneKey,3456505,N,Y,40.7036054,-73.9042063,316.6666667,TRUE,0.481052632,FALSE
MLS Listing,,Multi-Family ,2040 73rd St,Brooklyn,NY,11204,1700000,15,6,Brooklyn,6279,3000,1931,29,271,,Active,https://www.redfin.com/NY/Brooklyn/2040-73rd-St-11204/home/40823754,BNYMLS,474873,N,Y,40.611216,-73.9896926,418.6,TRUE,0.477783086,FALSE
MLS Listing,,Multi-Family ,1563 70th St,Brooklyn,NY,11228,1700000,2,4,Brooklyn,4680,2000,1922,54,363,,Active,https://www.redfin.com/NY/Brooklyn/1563-70th-St-11228/home/40821737,BNYMLS,474324,N,Y,40.6196667,-73.9983258,2340,TRUE,0.427350427,FALSE
MLS Listing,,Multi-Family ,131 W 118th St,New York,NY,10026,1700000,4,4.5,Manhattan,5120,2018,1899,105,332,,Active,https://www.redfin.com/NY/New-York/131-W-118th-St-10026/home/45305519,REBNY,PRCH-7533149,N,Y,40.8041261,-73.9500919,1280,TRUE,0.394140625,FALSE
MLS Listing,,Multi-Family ,661 Metropolitan Ave #6,Williamsburg,NY,11211,1699000,12,6,Brooklyn,4125,2150,1920,189,412,,Active,https://www.redfin.com/NY/Brooklyn/661-Metropolitan-Ave-11211/unit-6/home/40741938,OneKey,3451628,N,Y,40.714489,-73.947028,343.75,TRUE,0.521212121,FALSE
MLS Listing,,Multi-Family ,930 59th St,Brooklyn,NY,11219,1698000,11,6,Brooklyn,4800,2003,1920,39,354,,Active,https://www.redfin.com/NY/Brooklyn/930-59th-St-11219/home/40807569,BNYMLS,474685,N,Y,40.6340613,-74.006106,436.3636364,TRUE,0.417291667,FALSE
MLS Listing,,Multi-Family ,2566 E 1 St,Brooklyn,NY,11223,1695000,7,4,Brooklyn,4026,25000,1960,85,421,,Active,https://www.redfin.com/NY/Brooklyn/2566-E-1st-St-11223/home/40857864,BNYMLS,473500,N,Y,40.5869854,-73.9689001,575.1428571,TRUE,6.209637357,TRUE
MLS Listing,,Multi-Family ,1319 Avenue R,Homecrest,NY,11229,1695000,3,2,Brooklyn,5500,3000,1925,130,308,,Active,https://www.redfin.com/NY/Brooklyn/1319-Avenue-R-11229/home/40845049,OneKey,3463686,N,Y,40.6058865,-73.958984,1833.333333,TRUE,0.545454545,FALSE
MLS Listing,,Multi-Family ,5907 4th Ave,Brooklyn,NY,11220,1688800,16,8,Brooklyn,6344,2080,1931,146,266,,Active,https://www.redfin.com/NY/Brooklyn/5907-4th-Ave-11220/home/40695642,BNYMLS,472050,N,Y,40.6411475,-74.0178487,396.5,TRUE,0.327868852,FALSE
MLS Listing,,Multi-Family ,1876 W 9th St,Brooklyn,NY,11223,1680000,11,6,Brooklyn,5148,2800,1931,6,326,,Active,https://www.redfin.com/NY/Brooklyn/1876-W-9th-St-11223/home/40840719,BNYMLS,475405,N,Y,40.6013903,-73.9816062,468,TRUE,0.543900544,FALSE
MLS Listing,,Multi-Family ,4383 Matilda Ave,Bronx,NY,10466,1650000,13,7,Bronx,5850,2500,1930,18,282,,Active,https://www.redfin.com/NY/Bronx/4383-Matilda-Ave-10466/home/44783126,OneKey,H6256918,N,Y,40.8988698,-73.8566386,450,TRUE,0.427350427,FALSE
MLS Listing,,Multi-Family ,366 E 160th St,Bronx,NY,10451,1650000,9,7,Bronx,4539,2465,1899,77,364,,Active,https://www.redfin.com/NY/Bronx/366-E-160th-St-10451/home/44715699,OneKey,H6242944,N,Y,40.8238102,-73.9154206,504.3333333,TRUE,0.543071161,FALSE
MLS Listing,,Multi-Family ,761 E 9th St,Brooklyn,NY,11230,1650000,12,7,Brooklyn,5000,2667,1925,43,330,,Active,https://www.redfin.com/NY/Brooklyn/761-E-9th-St-11230/home/40834405,BNYMLS,474547,N,Y,40.6302609,-73.967828,416.6666667,TRUE,0.5334,FALSE
MLS Listing,,Multi-Family ,2024 Bay Ridge Ave,Brooklyn,NY,11204,1650000,5,6,Brooklyn,5148,2667,1927,85,321,,Active,https://www.redfin.com/NY/Brooklyn/2024-Bay-Ridge-Ave-11204/home/40821861,BNYMLS,473462,N,Y,40.6137576,-73.9878002,1029.6,TRUE,0.518065268,FALSE
MLS Listing,,Multi-Family ,2331 W 12th St,Brooklyn,NY,11223,1650000,9,5,Brooklyn,4320,4000,2006,243,382,,Active,https://www.redfin.com/NY/Brooklyn/2331-W-12th-St-11223/home/40856525,BNYMLS,469181,N,Y,40.5906586,-73.9818321,480,TRUE,0.925925926,FALSE
MLS Listing,,Multi-Family ,6909 15th Ave,Brooklyn,NY,11228,1649000,12,6,Brooklyn,4920,2633,1924,209,335,,Active,https://www.redfin.com/NY/Brooklyn/6909-15th-Ave-11228/home/40821749,BNYMLS,470681,N,Y,40.6206743,-73.9995172,410,TRUE,0.535162602,FALSE
